#		 BLOCK:	 ACTUAL_TE:		TE_AVE:			ERROR:
           1     -6.3475     -6.3475           0
           2    -6.34759    -6.34754 3.26364e-05
           3    -6.33895    -6.34468  0.00233921
           4    -6.35092    -6.34624  0.00221538
           5     -6.3469    -6.34637  0.00177624
           6    -6.34207    -6.34565  0.00161831
           7    -6.34977    -6.34624  0.00149028
           8    -6.34904    -6.34659  0.00134429
           9    -6.35215    -6.34721   0.0013292
          10    -6.34294    -6.34678  0.00126305
          11     -6.3454    -6.34666  0.00115443
          12    -6.35185    -6.34709  0.00113633
          13    -6.34714    -6.34709  0.00104893
          14    -6.34665    -6.34706 0.000974482
          15    -6.35049    -6.34729 0.000936002
          16     -6.3472    -6.34728 0.000877517
          17    -6.34959    -6.34742 0.000836326
          18    -6.34538    -6.34731 0.000797544
          19    -6.34225    -6.34704 0.000798665
          20    -6.34702    -6.34704 0.000758733
          21    -6.35454     -6.3474 0.000802325
          22    -6.34503    -6.34729 0.000773027
          23    -6.34392    -6.34714 0.000753181
          24     -6.3488    -6.34721 0.000724962
          25    -6.33608    -6.34677 0.000821477
          26    -6.34503     -6.3467 0.000792608
          27    -6.34676     -6.3467 0.000763255
          28      -6.349    -6.34678 0.000740393
          29    -6.35261    -6.34699 0.000741611
          30    -6.34706    -6.34699 0.000716895
          31    -6.33991    -6.34676 0.000729263
          32    -6.34951    -6.34685 0.000711515
          33    -6.35479    -6.34709 0.000729531
          34    -6.35249    -6.34724 0.000725208
          35     -6.3453    -6.34719 0.000706624
          36    -6.34855    -6.34723  0.00068801
          37    -6.34539    -6.34718 0.000671197
          38    -6.35019    -6.34726 0.000658184
          39    -6.34253    -6.34714 0.000652353
          40    -6.34469    -6.34707 0.000638911
          41    -6.34466    -6.34702  0.00062603
          42    -6.34893    -6.34706 0.000612789
          43    -6.35371    -6.34722 0.000617726
          44    -6.34268    -6.34711 0.000612212
          45    -6.34899    -6.34715 0.000600025
          46    -6.35452    -6.34731 0.000607946
          47     -6.3445    -6.34725 0.000597957
          48    -6.34431    -6.34719 0.000588645
          49    -6.34373    -6.34712 0.000580849
          50     -6.3455    -6.34709 0.000570143
          51    -6.34879    -6.34712 0.000559941
          52    -6.34535    -6.34709 0.000550215
          53    -6.34867    -6.34712 0.000540646
          54     -6.3468    -6.34711 0.000530666
          55    -6.34763    -6.34712   0.0005211
          56    -6.34356    -6.34706 0.000515661
          57    -6.35362    -6.34717 0.000519319
          58    -6.34214    -6.34709 0.000517565
          59    -6.34556    -6.34706  0.00050944
          60    -6.34831    -6.34708 0.000501375
          61    -6.34767    -6.34709 0.000493247
          62    -6.34439    -6.34705 0.000487216
          63    -6.34012    -6.34694 0.000491742
          64    -6.34446     -6.3469 0.000485583
          65     -6.3453    -6.34687 0.000478739
          66    -6.34982    -6.34692 0.000473558
          67    -6.34835    -6.34694 0.000466968
          68    -6.35282    -6.34703 0.000468039
          69     -6.3454      -6.347 0.000461848
          70    -6.34274    -6.34694 0.000459256
          71    -6.34397     -6.3469 0.000454687
          72    -6.35001    -6.34694 0.000450412
          73    -6.34276    -6.34689 0.000447881
          74    -6.34632    -6.34688 0.000441895
          75    -6.34341    -6.34683 0.000438412
          76    -6.34833    -6.34685 0.000433088
          77    -6.35073     -6.3469 0.000430385
          78     -6.3489    -6.34693 0.000425628
          79    -6.34461     -6.3469 0.000421248
          80    -6.34767    -6.34691 0.000416093
          81    -6.34143    -6.34684 0.000416419
          82    -6.34654    -6.34684 0.000411357
          83    -6.34532    -6.34682 0.000406807
          84    -6.34999    -6.34686 0.000403715
          85    -6.35048     -6.3469 0.000401207
          86    -6.34852    -6.34692 0.000396982
          87    -6.35667    -6.34703  0.00040795
          88    -6.34262    -6.34698 0.000406376
          89    -6.35185    -6.34704 0.000405478
          90    -6.34843    -6.34705 0.000401268
          91    -6.34636    -6.34704  0.00039693
          92    -6.34714    -6.34704 0.000392617
          93    -6.34645    -6.34704 0.000388448
          94    -6.33627    -6.34692 0.000400844
          95    -6.34879    -6.34694 0.000397106
          96    -6.34839    -6.34696 0.000393255
          97    -6.34218    -6.34691  0.00039227
          98    -6.34811    -6.34692 0.000388459
          99    -6.35216    -6.34697 0.000388123
         100    -6.34754    -6.34698 0.000384283
