#		 BLOCK:	ACTUAL_PE:		 PE_AVE:			ERROR:
           1    -7.53887    -7.53887           0
           2    -7.52813     -7.5335  0.00379625
           3    -7.51861    -7.52854  0.00477711
           4    -7.53326    -7.52972  0.00372596
           5    -7.50982    -7.52574  0.00464246
           6    -7.53202    -7.52678  0.00398522
           7    -7.52583    -7.52665  0.00341825
           8    -7.51994    -7.52581  0.00309203
           9    -7.52376    -7.52558  0.00275688
          10    -7.52165    -7.52519  0.00250901
          11    -7.53773    -7.52633  0.00252682
          12    -7.52334    -7.52608  0.00232853
          13    -7.52515    -7.52601   0.0021505
          14    -7.51483    -7.52521   0.0021399
          15    -7.53805    -7.52607  0.00216162
          16    -7.52301    -7.52588  0.00203494
          17    -7.51947     -7.5255  0.00194976
          18    -7.52979    -7.52574  0.00185598
          19    -7.52239    -7.52556  0.00176662
          20    -7.52271    -7.52542  0.00168402
          21    -7.52934    -7.52561  0.00161417
          22    -7.52105     -7.5254  0.00155405
          23    -7.52488    -7.52538  0.00148664
          24    -7.52089    -7.52519  0.00143641
          25    -7.53253    -7.52548  0.00140866
          26    -7.51925    -7.52524  0.00137471
          27    -7.52388    -7.52519  0.00132472
          28    -7.51149     -7.5247  0.00136477
          29     -7.5351    -7.52506  0.00136395
          30    -7.50508     -7.5244  0.00147211
          31    -7.53028    -7.52459   0.0014368
          32     -7.5271    -7.52466  0.00139405
          33    -7.51878    -7.52449  0.00136316
          34    -7.52426    -7.52448  0.00132308
          35    -7.52163     -7.5244  0.00128778
          36    -7.52057    -7.52429  0.00125638
          37    -7.52249    -7.52424  0.00122337
          38    -7.52577    -7.52428  0.00119184
          39    -7.53346    -7.52452  0.00118427
          40    -7.51439    -7.52426  0.00118145
          41    -7.52232    -7.52422  0.00115358
          42    -7.52464    -7.52423  0.00112616
          43    -7.52532    -7.52425  0.00110026
          44    -7.52496    -7.52427  0.00107537
          45    -7.51514    -7.52407  0.00107044
          46    -7.53416    -7.52429   0.0010694
          47    -7.53113    -7.52443  0.00105652
          48    -7.52364    -7.52441  0.00103463
          49    -7.51093    -7.52414  0.00104946
          50    -7.51643    -7.52399  0.00103974
          51    -7.53833    -7.52427  0.00105671
          52    -7.51805    -7.52415  0.00104312
          53    -7.51995    -7.52407  0.00102645
          54    -7.52664    -7.52412  0.00100854
          55    -7.52494    -7.52413 0.000990319
          56    -7.52502    -7.52415 0.000972763
          57    -7.53318     -7.5243 0.000968525
          58     -7.5196    -7.52422 0.000955212
          59    -7.52497    -7.52424 0.000939106
          60    -7.51759    -7.52413 0.000929962
          61    -7.53324    -7.52428 0.000926631
          62    -7.52018    -7.52421 0.000914038
          63    -7.53072    -7.52431 0.000905356
          64    -7.51922    -7.52423 0.000894701
          65    -7.52763    -7.52429 0.000882464
          66    -7.52086    -7.52423 0.000870622
          67    -7.52755    -7.52428 0.000859035
          68    -7.52377    -7.52428 0.000846436
          69    -7.52981    -7.52436 0.000837961
          70    -7.51487    -7.52422 0.000836872
          71     -7.5296     -7.5243 0.000828505
          72    -7.52606    -7.52432 0.000817359
          73    -7.53158    -7.52442 0.000812191
          74    -7.51676    -7.52432 0.000807776
          75    -7.53595    -7.52447 0.000811762
          76    -7.50939    -7.52427  0.00082498
          77    -7.52908    -7.52434 0.000816626
          78    -7.51192    -7.52418 0.000821529
          79    -7.53471    -7.52431 0.000821875
          80    -7.51282    -7.52417 0.000824058
          81    -7.52601    -7.52419   0.0008142
          82    -7.52306    -7.52417 0.000804388
          83    -7.53815    -7.52434 0.000812134
          84    -7.51618    -7.52425 0.000808252
          85    -7.53511    -7.52437 0.000808782
          86    -7.53457    -7.52449 0.000808016
          87    -7.51776    -7.52441 0.000802429
          88    -7.52568    -7.52443 0.000793439
          89    -7.51856    -7.52436 0.000787256
          90    -7.53166    -7.52444 0.000782675
          91    -7.51966    -7.52439 0.000775838
          92    -7.52982    -7.52445 0.000769648
          93    -7.52702    -7.52448 0.000761866
          94    -7.51634    -7.52439 0.000758661
          95    -7.52758    -7.52443 0.000751418
          96    -7.50386    -7.52421 0.000773527
          97    -7.52986    -7.52427 0.000767743
          98    -7.52193    -7.52425 0.000760281
          99     -7.5096     -7.5241  0.00076686
         100    -7.51905    -7.52405 0.000760852
