# BLOCK:		ACTUAL_HAM:	 	AVERAG_HAM:			ERROR:
       0       -0.239791       -0.239791               0
       1       -0.231997       -0.235894      0.00389694
       2       -0.223745       -0.231844      0.00463285
       3       -0.244317       -0.234963      0.00452278
       4       -0.292465       -0.246463       0.0120222
       5       -0.199295       -0.238602        0.012576
       6         -0.2342       -0.237973       0.0106472
       7       -0.266378       -0.241523       0.0098808
       8       -0.258746       -0.243437      0.00892169
       9       -0.255401       -0.244633      0.00806899
      10       -0.253179        -0.24541      0.00733991
      11       -0.255038       -0.246213      0.00674826
      12       -0.263366       -0.247532      0.00634618
      13       -0.237065       -0.246785       0.0059228
      14       -0.227344       -0.245489      0.00566409
      15       -0.282111       -0.247777      0.00577155
      16       -0.268108       -0.248973      0.00555176
      17       -0.287079        -0.25109      0.00564616
      18        -0.24139        -0.25058      0.00536508
      19       -0.222654       -0.249183      0.00527782
      20       -0.266296       -0.249998      0.00508591
      21       -0.244349       -0.249742      0.00485602
      22       -0.279281       -0.251026      0.00481455
      23       -0.237704       -0.250471      0.00464288
      24       -0.281741       -0.251722      0.00462562
      25       -0.230497       -0.250905      0.00451851
      26       -0.262878       -0.251349      0.00437049
      27       -0.256025       -0.251516      0.00421482
      28       -0.255145       -0.251641      0.00406881
      29       -0.238651       -0.251208      0.00395462
      30       -0.234879       -0.250681      0.00386103
      31       -0.279466       -0.251581      0.00384512
      32         -0.2531       -0.251627      0.00372706
      33       -0.208215        -0.25035       0.0038346
      34       -0.272525       -0.250983      0.00377695
      35       -0.247447       -0.250885      0.00367185
      36       -0.237778       -0.250531      0.00358876
      37       -0.231556       -0.250032      0.00352856
      38       -0.212721       -0.249075      0.00356755
      39       -0.224827       -0.248469      0.00352966
      40       -0.254821       -0.248624      0.00344598
      41       -0.273754       -0.249222      0.00341575
      42        -0.27519       -0.249826       0.0033896
      43       -0.277888       -0.250464      0.00337252
      44       -0.247701       -0.250402      0.00329729
      45       -0.250141       -0.250397      0.00322482
      46       -0.243809       -0.250256      0.00315857
      47        -0.21184       -0.249456      0.00319397
      48        -0.26421       -0.249757      0.00314257
      49       -0.261273       -0.249988      0.00308768
      50       -0.238288       -0.249758      0.00303521
      51        -0.21948       -0.249176      0.00303269
      52       -0.216455       -0.248558      0.00303831
      53       -0.255382       -0.248685      0.00298419
      54       -0.240656       -0.248539      0.00293306
      55       -0.261834       -0.248776      0.00288998
      56       -0.260706       -0.248986      0.00284653
      57       -0.253692       -0.249067       0.0027982
      58       -0.262124       -0.249288      0.00275925
      59       -0.225721       -0.248895      0.00274116
      60       -0.231177       -0.248605      0.00271145
      61       -0.246524       -0.248571      0.00266757
      62       -0.253486       -0.248649      0.00262605
      63       -0.215007       -0.248124       0.0026376
      64       -0.282028       -0.248645      0.00264858
      65       -0.257758       -0.248783      0.00261179
      66        -0.27734       -0.249209      0.00260758
      67        -0.23754       -0.249038      0.00257467
      68       -0.279026       -0.249472      0.00257404
      69       -0.271464       -0.249787      0.00255638
      70       -0.255998       -0.249874      0.00252164
      71       -0.250196       -0.249879      0.00248637
      72       -0.271242       -0.250171      0.00246948
      73       -0.230526       -0.249906       0.0024503
      74       -0.225487        -0.24958      0.00243924
      75       -0.242484       -0.249487      0.00240874
      76       -0.228812       -0.249218      0.00239236
      77       -0.277524       -0.249581      0.00238922
      78       -0.222832       -0.249243      0.00238296
      79       -0.211011       -0.248765      0.00240102
      80       -0.246231       -0.248733       0.0023714
      81       -0.265522       -0.248938      0.00235123
      82       -0.249069        -0.24894      0.00232273
      83       -0.243649       -0.248877      0.00229578
      84       -0.241386       -0.248789      0.00227032
      85       -0.296333       -0.249341      0.00231087
      86       -0.242805       -0.249266      0.00228539
      87       -0.247294       -0.249244      0.00225938
      88       -0.277701       -0.249564      0.00225662
      89       -0.249283       -0.249561       0.0022314
      90         -0.2532       -0.249601      0.00220711
      91        -0.22349       -0.249317      0.00220136
      92       -0.216527       -0.248964      0.00220592
      93       -0.297304       -0.249478       0.0022421
      94       -0.282313       -0.249824      0.00224513
      95       -0.233403       -0.249653       0.0022282
      96       -0.224721       -0.249396      0.00222004
      97       -0.257795       -0.249482      0.00219894
      98       -0.263913       -0.249627      0.00218149
      99       -0.238301       -0.249514      0.00216253
