# BLOCK:		ACTUAL_HAM:	 	AVERAG_HAM:			ERROR:
       0       -0.442957       -0.442957               0
       1       -0.429634       -0.436295       0.0066615
       2       -0.472666       -0.448419       0.0127191
       3       -0.395804       -0.435265       0.0159346
       4       -0.458567       -0.439925       0.0131934
       5       -0.409488       -0.434853       0.0119071
       6       -0.432821       -0.434562       0.0100675
       7       -0.459226       -0.437645      0.00924774
       8       -0.441292       -0.438051       0.0081658
       9       -0.454629       -0.439708      0.00748951
      10       -0.427429       -0.438592      0.00686588
      11       -0.447489       -0.439333      0.00631136
      12       -0.415695       -0.437515       0.0060837
      13       -0.472683       -0.440027      0.00616718
      14       -0.454777        -0.44101      0.00582493
      15       -0.435682       -0.440677       0.0054589
      16       -0.446212       -0.441003      0.00513807
      17       -0.438035       -0.440838      0.00484702
      18       -0.440081       -0.440798      0.00458499
      19       -0.361523       -0.436834      0.00588485
      20       -0.436608       -0.436824      0.00559762
      21       -0.448921       -0.437374      0.00536537
      22       -0.425513       -0.436858      0.00515266
      23       -0.450009       -0.437406      0.00496364
      24        -0.45909       -0.438273      0.00483932
      25       -0.415818        -0.43741        0.004729
      26       -0.422534       -0.436859      0.00458371
      27       -0.435819       -0.436822      0.00441713
      28       -0.452335       -0.437356      0.00429554
      29        -0.42786        -0.43704      0.00416194
      30       -0.396818       -0.435742      0.00422938
      31       -0.435515       -0.435735      0.00409508
      32       -0.437695       -0.435795      0.00396949
      33       -0.393501       -0.434551       0.0040469
      34       -0.475409       -0.435718       0.0040993
      35       -0.443241       -0.435927      0.00398928
      36       -0.484748       -0.437247      0.00409819
      37       -0.460558        -0.43786      0.00403578
      38       -0.441873       -0.437963      0.00393228
      39       -0.448949       -0.438238      0.00384254
      40       -0.466108       -0.438917       0.0038088
      41       -0.468354       -0.439618      0.00378251
      42       -0.446427       -0.439777      0.00369689
      43       -0.444868       -0.439892      0.00361375
      44       -0.442236       -0.439944      0.00353291
      45       -0.447413       -0.440107      0.00345907
      46       -0.427372       -0.439836       0.0033955
      47       -0.462388       -0.440306      0.00335705
      48        -0.44127       -0.440325      0.00328788
      49       -0.429055         -0.4401      0.00322933
      50       -0.428529       -0.439873       0.0031735
      51       -0.455443       -0.440172      0.00312624
      52       -0.447882       -0.440318      0.00307014
      53       -0.440506       -0.440321      0.00301275
      54        -0.38216       -0.439264      0.00314084
      55       -0.441788       -0.439309      0.00308457
      56       -0.413252       -0.438852      0.00306426
      57        -0.42597        -0.43863      0.00301915
      58       -0.476709       -0.439275      0.00303691
      59       -0.414699       -0.438866      0.00301383
      60       -0.420829        -0.43857      0.00297872
      61       -0.424132       -0.438337      0.00293952
      62       -0.436894       -0.438314      0.00289258
      63       -0.394462       -0.437629      0.00292832
      64       -0.437619       -0.437629      0.00288291
      65       -0.423591       -0.437416      0.00284685
      66       -0.447495       -0.437566      0.00280807
      67       -0.462959        -0.43794      0.00279156
      68       -0.454717       -0.438183      0.00276153
      69       -0.450416       -0.438358       0.0027274
      70       -0.470088       -0.438805       0.0027256
      71       -0.480151       -0.439379      0.00274814
      72       -0.371358       -0.438447      0.00286594
      73       -0.469966       -0.438873      0.00285885
      74       -0.445585       -0.438963       0.0028219
      75       -0.445048       -0.439043      0.00278567
      76       -0.419581        -0.43879      0.00276085
      77       -0.460379       -0.439067      0.00273924
      78       -0.444358       -0.439134      0.00270518
      79       -0.396679       -0.438603      0.00272335
      80       -0.428825       -0.438482      0.00269223
      81       -0.449236       -0.438613      0.00266243
      82       -0.473904       -0.439039       0.0026643
      83       -0.407836       -0.438667      0.00265847
      84       -0.443913       -0.438729      0.00262773
      85       -0.437111        -0.43871      0.00259707
      86       -0.432078       -0.438634      0.00256817
      87       -0.445008       -0.438706      0.00253985
      88       -0.410579        -0.43839      0.00253096
      89       -0.446732       -0.438483       0.0025044
      90       -0.411139       -0.438182      0.00249489
      91       -0.418707       -0.437971      0.00247668
      92       -0.427245       -0.437855      0.00245262
      93        -0.47571       -0.438258      0.00245958
      94       -0.430669       -0.438178      0.00243486
      95       -0.396392       -0.437743      0.00244837
      96       -0.421748       -0.437578       0.0024286
      97       -0.388975       -0.437082      0.00245432
      98       -0.481287       -0.437529       0.0024701
      99       -0.466557       -0.437819      0.00246244
     100       -0.466641       -0.438104      0.00245458
     101       -0.408939       -0.437818      0.00244716
     102       -0.453115       -0.437967      0.00242783
     103       -0.462985       -0.438207      0.00241638
     104       -0.468174       -0.438493      0.00241021
     105       -0.432866        -0.43844      0.00238796
     106       -0.423266       -0.438298      0.00236978
     107       -0.451304       -0.438418      0.00235082
     108       -0.478599       -0.438787      0.00235815
     109       -0.441255       -0.438809      0.00233672
     110       -0.466624        -0.43906      0.00232909
     111       -0.490164       -0.439516      0.00235287
     112       -0.454836       -0.439652      0.00233589
     113       -0.430809       -0.439574      0.00231661
     114       -0.431108       -0.439501      0.00229756
     115       -0.480107       -0.439851      0.00230441
     116       -0.431106       -0.439776      0.00228585
     117       -0.459929       -0.439947      0.00227282
     118       -0.477582       -0.440263      0.00227572
     119       -0.396106       -0.439895      0.00228648
     120       -0.451913       -0.439994      0.00226968
     121       -0.471505       -0.440253      0.00226577
     122       -0.415202       -0.440049      0.00225648
     123       -0.427309       -0.439946      0.00224057
     124       -0.450265       -0.440029      0.00222411
     125       -0.391913       -0.439647      0.00223919
     126       -0.407307       -0.439392      0.00223603
     127       -0.478535       -0.439698      0.00223947
     128       -0.464223       -0.439888      0.00223016
     129       -0.438093       -0.439874      0.00221298
     130       -0.446334       -0.439924      0.00219658
     131       -0.458696       -0.440066      0.00218451
     132       -0.473836        -0.44032      0.00218284
     133       -0.457349       -0.440447      0.00217021
     134       -0.440656       -0.440448      0.00215408
     135       -0.446961       -0.440496      0.00213872
     136       -0.460499       -0.440642      0.00212806
