# STEP: 				 T: 				 MU: 				 SIGMA: 		  ENERGY: 		 ENERGY_BEST: 		 ERROR:
       0               2        0.754701        0.768552       -0.343065               1      0.00220722
       1           1.994        0.862515        0.935381       0.0676611       -0.343065      0.00675122
       2         1.98802        0.931184         1.14129         1.04419       -0.343065       0.0159402
       3         1.98205        0.931184         1.14129         1.04419       -0.343065       0.0303317
       4         1.97611         1.48941         1.00334         5.11035       -0.343065       0.0303896
       5         1.97018         1.27526        0.849462         1.59193       -0.343065         0.01272
       6         1.96427         1.27526        0.849462         1.59193       -0.343065        0.043979
       7         1.95838         1.27526        0.849462         1.59193       -0.343065       0.0292944
       8          1.9525        0.568399        0.406739        0.115655       -0.343065      0.00367565
       9         1.94664       0.0658064        0.570915        0.428156       -0.343065      0.00316733
      10          1.9408       0.0658064        0.570915        0.428156       -0.343065       0.0377091
      11         1.93498        0.249336        0.742292      -0.0848968       -0.343065      0.00189417
      12         1.92918        0.579362         0.56423       -0.264583       -0.343065      0.00125684
      13         1.92339        0.041044        0.660225        0.163008       -0.343065      0.00255708
      14         1.91762       0.0123573        0.859891       -0.175939       -0.343065      0.00166632
      15         1.91187       0.0770315          0.7645       -0.053483       -0.343065      0.00202784
      16         1.90613        0.298563         1.02923       -0.231746       -0.343065      0.00323465
      17         1.90041        0.382215         1.25354        0.223779       -0.343065       0.0104738
      18         1.89471        0.500398        0.937999       -0.247209       -0.343065      0.00302396
      19         1.88903        0.500398        0.937999       -0.247209       -0.343065       0.0151427
      20         1.88336         0.40898          1.1085       -0.101749       -0.343065      0.00536189
      21         1.87771        0.398362        0.775568       -0.204839       -0.343065      0.00169812
      22         1.87208        0.496787        0.573802       -0.147481       -0.343065      0.00157672
      23         1.86646       0.0402491        0.670943        0.141361       -0.343065      0.00250979
      24         1.86086        0.337097        0.810381       -0.201474       -0.343065      0.00162867
      25         1.85528        0.074857        0.638403        0.217817       -0.343065      0.00276599
      26         1.84971        0.711076        0.365684        0.616211       -0.343065      0.00610133
      27         1.84416        0.711076        0.365684        0.616211       -0.343065         0.10119
      28         1.83863          1.5459        0.502552         2.26968       -0.343065      0.00727071
      29         1.83311        0.729371        0.560739       -0.402158       -0.343065      0.00104406
      30         1.82762        0.729371        0.560739       -0.402158       -0.402158       0.0120489
      31         1.82213         0.31171         1.00819        -0.23419       -0.402158       0.0030931
      32         1.81667        0.745108        0.933634       -0.126043       -0.402158      0.00515093
      33         1.81122        0.745108        0.933634       -0.126043       -0.402158       0.0188937
      34         1.80578        0.745108        0.933634       -0.126043       -0.402158       0.0088106
      35         1.80036        0.745108        0.933634       -0.126043       -0.402158       0.0157812
      36         1.79496         0.67709        0.998572      -0.0841173       -0.402158      0.00572428
      37         1.78958        0.957768          0.7557       -0.168387       -0.402158      0.00398707
      38         1.78421        0.632225        0.800588       -0.317681       -0.402158      0.00196175
      39         1.77886        0.148603        0.892094       -0.216282       -0.402158      0.00187962
      40         1.77352        0.140046           1.255       0.0640456       -0.402158      0.00831889
      41          1.7682        0.140046           1.255       0.0640456       -0.402158       0.0175338
      42          1.7629        0.284972          1.2511        0.115123       -0.402158        0.010235
      43         1.75761        0.162723        0.886414       -0.213399       -0.402158      0.00170955
      44         1.75233        0.562957         1.28444        0.606857       -0.402158       0.0152613
      45         1.74708        0.206323         1.17777      -0.0763389       -0.402158      0.00624477
      46         1.74184        0.148975         1.00253       -0.251542       -0.402158      0.00256679
      47         1.73661        0.712264        0.991784      -0.0470849       -0.402158      0.00614828
