# CITY: 		 POSITION X: 	 POSITION Y: 
     0         -0.754701      -0.462897
    10         -0.907376   -0.000228308
    22         -0.867264     -0.0162367
    26         -0.914614     -0.0399969
     5         -0.992581      -0.225257
    30         -0.953017       0.830788
    31         -0.889108       0.646751
    15         -0.373846        0.66159
    12         -0.290563       0.925556
     8         0.0251161       0.783746
    20          0.158824       0.422213
     2          0.504813       0.750169
     1          0.523449       0.382443
    18          0.701516       0.820887
    14           0.53188       0.754132
    23          0.843428       0.364065
    13          0.194635     -0.0393818
     9          0.106866       0.159229
    11         0.0925783      -0.174039
    33          0.693893      -0.213899
    27          0.761548      -0.750078
    25          0.842615      -0.954377
    32          0.378922      -0.728126
     4         0.0625887      -0.507472
    24          -0.61667      -0.262838
    16        0.00854075       0.172449
     6         -0.128043      -0.242347
     3         -0.300232      0.0568265
     7         -0.422661       0.120846
    21         -0.383994     0.00850816
    17         -0.845631      -0.668712
    28          -0.78417      -0.957058
    29         -0.445184      -0.943781
    19         -0.541376      -0.601081
