#   N_BLOCK:  ACCEPTANCE:
           1       0.678
           2    0.677271
           3    0.677513
           4    0.678184
           5    0.678078
           6    0.677964
           7    0.677957
           8    0.677944
           9    0.677978
          10    0.678082
          11    0.678139
          12    0.678106
          13    0.678107
          14    0.678094
          15    0.678135
          16    0.678069
          17    0.678034
          18    0.678167
          19    0.678211
          20    0.678146
