#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1         4.5         4.5           0
           2         4.5         4.5           0
           3         4.5         4.5           0
           4         4.5         4.5           0
           5         4.5         4.5           0
           6         4.5         4.5 2.43335e-08
           7         4.5         4.5           0
           8         4.5         4.5           0
           9         4.5         4.5           0
          10         4.5         4.5           0
          11         4.5         4.5 1.79715e-08
          12         4.5         4.5 1.72064e-08
          13         4.5         4.5 1.65314e-08
          14         4.5         4.5   1.593e-08
          15         4.5         4.5 1.53899e-08
          16         4.5         4.5 1.49012e-08
          17         4.5         4.5 1.44562e-08
          18         4.5         4.5 1.40489e-08
          19         4.5         4.5 1.36742e-08
          20         4.5         4.5  1.3328e-08
