#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1           3           3           0
           2           3           3           0
           3           3           3           0
           4           3           3           0
           5           3           3           0
           6           3           3           0
           7           3           3           0
           8           3           3           0
           9           3           3           0
          10           3           3           0
          11           3           3           0
          12           3           3           0
          13           3           3           0
          14           3           3           0
          15           3           3           0
          16           3           3           0
          17           3           3           0
          18           3           3           0
          19           3           3           0
          20           3           3           0
