#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.322024   -0.322024           0
           2   -0.320544   -0.321284 0.000523259
           3   -0.321984   -0.321517 0.000397474
           4   -0.318688    -0.32081 0.000681254
           5   -0.320488   -0.320746 0.000548039
           6   -0.321352   -0.320847 0.000465925
           7   -0.323792   -0.321267  0.00055789
           8   -0.323248   -0.321515   0.0005403
           9   -0.323256   -0.321708  0.00051373
          10   -0.320336   -0.321571  0.00048034
          11    -0.32208   -0.321617 0.000438894
          12   -0.322152   -0.321662 0.000404574
          13   -0.320208    -0.32155 0.000388606
          14   -0.323592   -0.321696 0.000387251
          15   -0.320968   -0.321647 0.000364463
          16   -0.325176   -0.321868 0.000402918
          17     -0.3232   -0.321946  0.00038676
          18   -0.321088   -0.321899 0.000368202
          19   -0.320152   -0.321807 0.000360116
          20   -0.321024   -0.321768  0.00034423
